#,State,Address,End,Chunk (hex),Used (hex),Chunk (bytes),Used (bytes),Wasted (bytes),Source,Type,Label,Prev,Next,Size16,Flags,Self,Notes
1,PERM,0x141A90000,0x141A9004F,0x00000,0x00000,0,0,0,,unknown,,0x141A90000,0x141A90050,0x0005,0x02010000,0xFFEEFFEE,
2,USED,0x141A90050,0x141A9BC2F,0x0BB80,0x0BB80,48000,48000,0,,unknown,,0x141A90000,0x141A9BC30,0x0BBE,0x02011000,0x41A90060,
3,USED,0x141A9BC30,0x141AC2D8F,0x27100,0x27100,160000,160000,0,,unknown,,0x141A90050,0x141AC2D90,0x2716,0x02011000,0x41A9BC40,
4,USED,0x141AC2D90,0x141AE9EEF,0x27100,0x27100,160000,160000,0,,unknown,,0x141A9BC30,0x141AE9EF0,0x2716,0x02011000,0x41AC2DA0,
5,USED,0x141AE9EF0,0x141AF1C4F,0x07D00,0x07D00,32000,32000,0,,unknown,,0x141AC2D90,0x141AF1C50,0x07D6,0x02011000,0x41AE9F00,
6,USED,0x141AF1C50,0x141AF99AF,0x07D00,0x07D00,32000,32000,0,,unknown,,0x141AE9EF0,0x141AF99B0,0x07D6,0x02011000,0x41AF1C60,
7,USED,0x141AF99B0,0x141AFE83F,0x04E30,0x04E22,20016,20002,14,,unknown,,0x141AF1C50,0x141AFE840,0x04E9,0x02011E00,0x41AF99C0,
8,USED,0x141AFE840,0x141B1658F,0x17CF0,0x17CE8,97520,97512,8,,unknown,,0x141AF99B0,0x141B16590,0x17D5,0x02011800,0x41AFE850,
9,FREE,0x141B16590,0x141B2584F,0x0F2C0,0x00000,62144,0,62144,,free,,0x141AFE840,0x141B25850,0x0F2C,0x02000000,0x00000000,
10,USED,0x141B25850,0x141B25A5F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B16590,0x141B25A60,0x0021,0x02011000,0x41B25860,
11,USED,0x141B25A60,0x141B25C6F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B25850,0x141B25C70,0x0021,0x02011000,0x41B25A70,
12,USED,0x141B25C70,0x141B26AAF,0x00DE0,0x00DD8,3552,3544,8,,unknown,,0x141B25A60,0x141B26AB0,0x00E4,0x02011800,0x41B25C80,
13,FREE,0x141B26AB0,0x141B26AEF,0x00040,0x00000,64,0,64,,free,,0x141B25C70,0x141B26AF0,0x0004,0x02000000,0x00040000,
14,USED,0x141B26AF0,0x141B26CFF,0x001B0,0x001B0,432,432,0,,unknown,,0x141B26AB0,0x141B26D00,0x0021,0x02011000,0x41B26B00,
15,USED,0x141B26D00,0x141B26F0F,0x001B0,0x001B0,432,432,0,,unknown,,0x141B26AF0,0x141B26F10,0x0021,0x02011000,0x41B26D10,
16,USED,0x141B26F10,0x141B2798F,0x00A70,0x00A70,2672,2672,0,,unknown,,0x141B26D00,0x141B27990,0x00A8,0x02001000,0x00030000,
